Фирма;Затея;МОЛ;Телефон;ЗначениеДок;НомСтр;Наименование;Добавка;Комент;Курица;СайтТаб;Уровень;Аналог;Получатель;ИНН;КПП;Рсчёт;Банк;БИК;КорСчёт;АдресБанка;ДобавкаБанк;Фото;ДебетКон;КредитКон;ДебКолКон;КредКолКон;
АНО "ЦПУ СВО";;Бухарев В.В.;8(996) 897-90-61;;;;;;;https://ok.ru/profile/499354468;1;;;;;;;;;;;;        1349,00;           0,00;          0,000;          0,000;
АНО "ЦПУ СВО";Затея 1Н32В5Ф23I08I24Д (23.08.2024);Бухарев В.В.;8(996) 897-90-61;;;;;Штаб;1Н32В5Ф23I08I24Д-2.jpg;и11111111111111111111111111111111111110о;2;svet-dobra@bk.ru;АНО "ЦЕНТР ПОМОЩИ УЧАСТНИКАМ СПЕЦИАЛЬНОЙ ВОЕННОЙ ОПЕРАЦИИ";4345532821;434501001;40703810538290000281;Филиал "Екатеринбургский" АО "Альфа-Банк";046577964;30101810100000000964;Екатеринбург;Добровольное пожертвование по Затее № 1Н32В5Ф23I08I24Д на Штаб. НДС не облагается.;1Н32В5Ф23I08I24Д-2.jpg+1Н32В7Ф23I08I24Д-1.jpg+;        1100,00;           0,00;          0,000;          0,000;
АНО "ЦПУ СВО";Затея 2Н32В5Ф05I11I24Д (05.11.2024);Бухарев В.В.;8(996) 897-90-61;;;;;Формирование устава для основной деятельности;2Н32В5Ф05I11I24Д-2.jpg;https://ok.ru/profile/499354468;2;svet-dobra@bk.ru;АНО "ЦЕНТР ПОМОЩИ УЧАСТНИКАМ СПЕЦИАЛЬНОЙ ВОЕННОЙ ОПЕРАЦИИ";4345532821;434501001;40703810538290000281;Филиал "Екатеринбургский" АО "Альфа-Банк";046577964;30101810100000000964;Екатеринбург;Добровольное пожертвование по Затее № 2Н32В5Ф05I11I24Д на Формирование устава для основной деятельности. НДС не облагается.;2Н32В5Ф05I11I24Д-2.jpg+2Н32В5Ф05I11I24Д-1.jpg+;         249,00;           0,00;          0,000;          0,000;
Борей ПК;;Гурбин Ф.И.;+7(913) 995-71-95;;;;;;;;1;;;;;;;;;;;;           0,00;           0,00;          0,000;          0,000;
ВЦК;;Ивонина А.Н.;+7(922) 919-33-19;;;;;;;;1;;;;;;;;;;;;           0,00;           0,00;          0,000;          0,000;
Логистик (Вятка);;Бухарев В.В.;8(996) 897-90-61;;;;;;;https://ok.ru/profile/499354468;1;;;;;;;;;;;;         101,98;      770000,00;          0,000;          0,000;
Логистик (Вятка);Затея 3Н32В3Ф01I01I23Д (01.01.2023);Бухарев В.В.;8(996) 897-90-61;;;;;Организационная;3Н32В3Ф01I01I23Д-2.jpg;сайт птички;2;svet-dobra@bk.ru;ООО Д. К. Б. "СЕВЕР";4330008904;433001001;40702810038290008687;Филиал "Екатеринбургский" АО "Альфа-Банк";046577964;30101810100000000964;Екатеринбург;Добровольное пожертвование по Затее № 3Н32В3Ф01I01I23Д на Организационная. НДС не облагается.;3Н32В3Ф01I01I23Д-3.jpg+3Н32В3Ф01I01I23Д-2.jpg+3Н32В3Ф01I01I23Д-1.mp4+;         101,98;           0,00;          0,000;          0,000;
Логистик (Вятка);Затея 2Н32В2Ф10I11I24Д (10.11.2024);Бухарев В.В.;8(996) 897-90-61;;;;;РЭБ;2Н32В2Ф10I11I24Д-2.jpg;https://t.me/EWR_of_Russia;2;svet-dobra@bk.ru;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВЯТСКАЯ ГРУЗОПАССАЖИРСКАЯ КОМПАНИЯ "ВЯТКА ЛОГИСТИК";4330008943;433001001;40702810629820002340;Филиал Нижегородский ОАО Альфа-Банк;042202824;30101810200000000824;Нижний Новгород;Добровольное пожертвование по Затее № 2Н32В2Ф10I11I24Д на РЭБ. НДС не облагается.;2Н32В2Ф10I11I24Д-2.jpg+2Н32В2Ф10I11I24Д-1.jpg+;           0,00;      770000,00;          0,000;        101,000;
Логистик (Вятка);Затея 2Н32В2Ф10I11I24Д (10.11.2024);Бухарев В.В.;8(996) 897-90-61;СчетПриход 1Н23В2Ф10I11I24Д (10.11.2024);;;;Копюшон и не только;2Н32В2Ф10I11I24Д-2.jpg;https://ok.ru/profile/499354468;3;svet-dobra@bk.ru;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВЯТСКАЯ ГРУЗОПАССАЖИРСКАЯ КОМПАНИЯ "ВЯТКА ЛОГИСТИК";4330008943;433001001;40702810629820002340;Филиал Нижегородский ОАО Альфа-Банк;042202824;30101810200000000824;Нижний Новгород;Добровольное пожертвование по Затее № 2Н32В2Ф10I11I24Д на Копюшон и не только. НДС не облагается.;1Н23В2Ф10I11I24Д-1.jpg;           0,00;      770000,00;          0,000;        101,000;
Логистик (Вятка);Затея 2Н32В2Ф10I11I24Д (10.11.2024);Бухарев В.В.;8(996) 897-90-61;СчетПриход 1Н23В2Ф10I11I24Д (10.11.2024);1;Генепатор помех;Капюшон, ФПВ-5 МОТО;Копюшон и не только;2Н32В2Ф10I11I24Д-2.jpg;1111111111111111111111111ш;4;svet-dobra@bk.ru;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВЯТСКАЯ ГРУЗОПАССАЖИРСКАЯ КОМПАНИЯ "ВЯТКА ЛОГИСТИК";4330008943;433001001;40702810629820002340;Филиал Нижегородский ОАО Альфа-Банк;042202824;30101810200000000824;Нижний Новгород;Добровольное пожертвование по Затее № 2Н32В2Ф10I11I24Д на Копюшон и не только. НДС не облагается.;1Н23В2Ф10I11I24Д-1.jpg;           0,00;      520000,00;          0,000;          1,000;
